title,channelName,viewCount,likes,date,duration,type,url,commentsCount
Yehi Toh Hai BBQ-DI-SHAAN 🔥 | Barbeque Nation | 15th Dec 2021 - 5th Jan 2022,Barbeque Nation,395998,44,2021-12-22T07:24:26.000Z,0:00:31,video,https://www.youtube.com/watch?v=_9RcvR0Cqv0,1
BBQ  Indore,Barbeque Nation,830,11,2020-10-03T06:49:55.000Z,0:00:14,video,https://www.youtube.com/watch?v=39UPuRp-DEw,0
Head over to BBQ Nation today,Barbeque Nation,1597,28,2021-07-26T12:41:49.000Z,0:00:47,video,https://www.youtube.com/watch?v=-rdSNOP6w-8,0
"Grill, Chill and Thrill at Barbeque-Di-Shaan | 15th Dec 2021 - 5th Jan 2022 | Barbeque Nation",Barbeque Nation,414206,567,2021-12-15T07:55:47.000Z,0:02:47,video,https://www.youtube.com/watch?v=8m6uanPyx4E,22
A pat on our back is what keeps us going!😊,Barbeque Nation,273,7,2020-07-29T10:54:09.000Z,0:01:00,video,https://www.youtube.com/watch?v=MMtfhYtB6r0,0
Barbequedishaan,Barbeque Nation,305,19,2021-12-25T20:16:20.000Z,0:01:41,video,https://www.youtube.com/watch?v=OKhkrse2nrc,0
Smoking grills and Irresistible treats!,Barbeque Nation,1121,15,2021-07-20T09:36:12.000Z,0:00:36,video,https://www.youtube.com/watch?v=oe3yjNG3UjU,0
It's The Time To Disco 🕺 at #BarbequeDiShaan | 15th Dec 2021 - 5th Jan 2022,Barbeque Nation,23571,8,2021-12-22T07:32:41.000Z,0:00:22,video,https://www.youtube.com/watch?v=93NkbJALBuY,1
"Grill, Chill and Thrill at Barbeque-Di-Shaan | 15th Dec 2021 - 5th Jan 2022",Barbeque Nation,1023,49,2021-12-21T05:41:59.000Z,0:02:47,video,https://www.youtube.com/watch?v=FH6yvZnzfSY,4
Enjoy Barbeque Nation’s new way to dine-in.,Barbeque Nation,713,11,2020-07-08T10:31:23.000Z,0:00:15,video,https://www.youtube.com/watch?v=kEMtZD1cUMA,0
Barbequedishaan,Barbeque Nation,262,14,2021-12-27T15:29:13.000Z,0:01:57,video,https://www.youtube.com/watch?v=GTeXloJ0URM,0
Barbequedishaan,Barbeque Nation,187,5,2021-12-29T03:45:25.000Z,0:01:57,video,https://www.youtube.com/watch?v=i_Tn2E1NuCc,0
Luscious Fish Tikka,Barbeque Nation,901,2,2020-07-07T06:21:44.000Z,0:00:10,video,https://www.youtube.com/watch?v=YvlF60lWUHw,0
Barbequedishaan,Barbeque Nation,180,9,2021-12-29T03:44:11.000Z,0:01:58,video,https://www.youtube.com/watch?v=mDorW7w9YMs,0
LET'S RECREATE SUCH MOMENTS,Barbeque Nation,416,14,2020-06-29T13:28:04.000Z,0:00:15,video,https://www.youtube.com/watch?v=I7lX3u7-aY0,2
