record_id,city_name,branch_id,branch_name,package_name,price,min_pax,max_pax,applicable_days,slot_timings,full_address,terms_summary,scraped_at
26,Bangalore,12,Indiranagar,Fantastic 4@1799,₹1799,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹450 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
27,Bangalore,12,Indiranagar,Fantastic 4@1999,₹1999,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹500 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
28,Bangalore,12,Indiranagar,Fantastic 4@2159,₹2159,4,10000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:30 AM - 11:55 AM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹539 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
29,Bangalore,12,Indiranagar,Fantastic 4@1749,₹1749,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹437 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
30,Bangalore,12,Indiranagar,₹50 Off Per Person,₹50,1,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Top Deal of the Day — Save ₹50 Per Person & Enjoy Unlimited Buffet.,2026-07-30T07:42:16.964Z
31,Bangalore,12,Indiranagar,Hottest Deal(4@2499),₹2499,4,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
32,Bangalore,12,Indiranagar,Hottest Deal(4@2399),₹2399,4,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
33,Bangalore,12,Indiranagar,Friendship Deal(4@2499),₹2499,3,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
34,Bangalore,12,Indiranagar,Hottest Deal(4@2599),₹2599,4,10000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
35,Bangalore,12,Indiranagar,Hottest Deal(4@2799),₹2799,3,10000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹700 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
36,Bangalore,12,Indiranagar,Hottest Deal(4@2999),₹2999,4,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
37,Bangalore,12,Indiranagar,Hottest Deal(4@3099),₹3099,3,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
